"gene_name","sample_name","gene_family","aro_accession","drug_class","high_level_drug_class","resistance_mechanism","model_type","num_contigs","cutoff","contig_coverage_breadth","contig_percent_id","contig_species","num_reads","read_gene_id","read_coverage_breadth","read_coverage_depth","read_species","total_reads","rpm","dpm","collection_date","Season","Mobility_Score","Human_Associated","Risk_Rank_Score","Season_Mapped","Persistence_Score","RPI","ESKAPE"
"Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin","Influent_WWTP_02_01_24_MH2_S339","rifamycin-resistant beta-subunit of RNA polymerase (rpoB)","ARO:3004480","rifamycin antibiotic","rifamycin antibiotic","antibiotic target alteration; antibiotic target replacement","protein homolog",0,"",NA,NA,"",80,"ARO:3004480|ID:2914|Name:Bifidobacterium_adolescentis_rpoB_mutants_conferring_resistance_to_rifampicin|NCBI:NC_008618.1",45.63,0.39,"Enterobacter hormaechei (chromosome): 1; ",4954328,34.39,0.17,"02_01_2024","Winter",0,TRUE,3,"Wet",0.69721473495663,3.69721473495663,"Yes"
"MexB","Influent_WWTP_02_01_24_MH2_S339","resistance-nodulation-cell division (RND) antibiotic efflux pump","ARO:3000378","macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem","macrolide antibiotic; aminocoumarin antibiotic; peptide antibiotic; tetracycline antibiotic; sulfonamide antibiotic; beta-lactam antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic; fluoroquinolone antibiotic","antibiotic efflux","protein homolog",0,"",NA,NA,"",33,"ARO:3000378|ID:1925|Name:MexB|NCBI:L11616.1",35.08,0.24,"Aeromonas veronii (chromosome): 5; Aeromonas hydrophila (chromosome): 2; Enterobacter cloacae (chromosome): 1; ",4954328,14.19,0.1,"02_01_2024","Winter",0,TRUE,3,"Wet",0.8097787517041,3.8097787517041,"Yes"
"OmpA","Influent_WWTP_02_01_24_MH2_S339","General Bacterial Porin with reduced permeability to peptide antibiotics","ARO:3005044","peptide antibiotic","peptide antibiotic","reduced permeability to antibiotic","protein homolog",0,"",NA,NA,"",5,"ARO:3005044|ID:3787|Name:OmpA|NCBI:FO834906.1",27.02,0.54,"Klebsiella michiganensis (chromosome): 2; Klebsiella (chromosome): 2; ",4954328,2.15,0.23,"02_01_2024","Winter",0,TRUE,3,"Wet",0.415384615721894,3.41538461572189,"No"
"mel","Influent_WWTP_02_01_24_MH2_S339","msr-type ABC-F protein","ARO:3000616","macrolide antibiotic; streptogramin antibiotic","macrolide antibiotic; streptogramin antibiotic","antibiotic target protection","protein homolog",1,"Nudged",6.6502,100,"Unknown taxonomy (chromosome)",34,"ARO:3000616|ID:1231|Name:mel|NCBI:AF227521.1",95.4,3.65,"Streptococcus suis (chromosome): 4; Phocaeicola vulgatus (chromosome): 1; Streptococcus (chromosome): 2; ",4954328,14.62,1.57,"02_01_2024","Winter",0,TRUE,3,"Wet",0.525419698509987,3.52541969850999,"No"
"smeE","Influent_WWTP_02_01_24_MH2_S339","resistance-nodulation-cell division (RND) antibiotic efflux pump","ARO:3003056","macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic","phenicol antibiotic; macrolide antibiotic; tetracycline antibiotic; fluoroquinolone antibiotic","antibiotic efflux","protein homolog",0,"",NA,NA,"",33,"ARO:3003056|ID:876|Name:smeE|NCBI:AJ252200.1",58.5,0.25,"Aeromonas hydrophila (chromosome): 4; Aeromonas caviae (chromosome): 4; Aeromonas veronii (chromosome): 2; Laribacter hongkongensis (chromosome): 1; Aeromonas (chromosome): 1; ",4954328,14.19,0.11,"02_01_2024","Winter",0,TRUE,3,"Wet",0.665334410493711,3.66533441049371,"No"
"tet(40)","Influent_WWTP_02_01_24_MH2_S339","major facilitator superfamily (MFS) antibiotic efflux pump","ARO:3000567","tetracycline antibiotic","tetracycline antibiotic","antibiotic efflux","protein homolog",1,"Nudged",36.855,96,"Faecalibacterium prausnitzii (chromosome)",16,"ARO:3000567|ID:945|Name:tet(40)|NCBI:AM419751.1",56.35,1.72,"Faecalibacterium prausnitzii (chromosome): 1; ",4954328,6.88,0.74,"02_01_2024","Winter",0,TRUE,3,"Wet",0.251287332800971,3.25128733280097,"No"
"AxyY","Influent_WWTP_02_01_24_MH3_S346","resistance-nodulation-cell division (RND) antibiotic efflux pump","ARO:3004144","macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin","beta-lactam antibiotic; aminoglycoside antibiotic; macrolide antibiotic; fluoroquinolone antibiotic","antibiotic efflux","protein homolog",0,"",NA,NA,"",37,"ARO:3004144|ID:2799|Name:AxyY|NCBI:AFRQ01000061.1",28.43,0.43,"Aeromonas caviae (chromosome): 2; ",6187794,14.85,0.17,"02_01_2024","Winter",0,TRUE,3,"Wet",0.723608301506158,3.72360830150616,"No"
"Klebsiella pneumoniae KpnH","Influent_WWTP_02_01_24_MH3_S346","major facilitator superfamily (MFS) antibiotic efflux pump","ARO:3004597","macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; penam; peptide antibiotic; penem","beta-lactam antibiotic; fluoroquinolone antibiotic; peptide antibiotic; aminoglycoside antibiotic; macrolide antibiotic","antibiotic efflux","protein homolog",0,"",NA,NA,"",6,"ARO:3004597|ID:3299|Name:Klebsiella_pneumoniae_KpnH|NCBI:ASTU01000063.1",20.73,0.53,"Enterobacter asburiae (chromosome): 2; Citrobacter freundii (chromosome): 1; ",6187794,2.41,0.21,"02_01_2024","Winter",0,TRUE,3,"Wet",0.417522245236988,3.41752224523699,"Yes"
"MexB","Influent_WWTP_02_01_24_MH3_S346","resistance-nodulation-cell division (RND) antibiotic efflux pump","ARO:3000378","macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem","beta-lactam antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; peptide antibiotic; phenicol antibiotic; macrolide antibiotic; tetracycline antibiotic; fluoroquinolone antibiotic","antibiotic efflux","protein homolog",0,"",NA,NA,"",35,"ARO:3000378|ID:1925|Name:MexB|NCBI:L11616.1",37.19,0.46,"Aeromonas caviae (chromosome): 2; Enterobacter cloacae (chromosome): 1; Klebsiella (chromosome): 1; ",6187794,14.05,0.18,"02_01_2024","Winter",0,TRUE,3,"Wet",0.8097787517041,3.8097787517041,"Yes"
"MexF","Influent_WWTP_02_01_24_MH3_S346","resistance-nodulation-cell division (RND) antibiotic efflux pump","ARO:3000804","fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic","fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic","antibiotic efflux","protein homolog",0,"",NA,NA,"",36,"ARO:3000804|ID:1300|Name:MexF|NCBI:AE004091.2",58.11,0.46,"Pseudomonas fluorescens (chromosome): 3; Pseudomonas stutzeri (chromosome): 3; Pseudomonas mendocina (chromosome): 2; Aeromonas hydrophila (chromosome): 1; ",6187794,14.45,0.18,"02_01_2024","Winter",0,TRUE,3,"Wet",0.685249484986982,3.68524948498698,"No"
"Neisseria gonorrhoeae 23S rRNA with mutation conferring resistance to azithromycin","Influent_WWTP_02_01_24_MH3_S346","23S rRNA with mutation conferring resistance to macrolide antibiotics","ARO:3004836","macrolide antibiotic","macrolide antibiotic","antibiotic target alteration","rRNA gene variant",1,"Nudged",39.3814,96.08,"Neisseria brasiliensis (chromosome)",NA,"",NA,NA,"Aeromonas veronii (chromosome): 1;  Aeromonas caviae (chromosome): 1; ",6187794,0,0,"02_01_2024","Winter",0,TRUE,3,"Wet",1,4,"No"
"OmpA","Influent_WWTP_02_01_24_MH3_S346","General Bacterial Porin with reduced permeability to peptide antibiotics","ARO:3005044","peptide antibiotic","peptide antibiotic","reduced permeability to antibiotic","protein homolog",0,"",NA,NA,"",1,"ARO:3005044|ID:3787|Name:OmpA|NCBI:FO834906.1",13.42,0.13,"Raoultella planticola (chromosome): 1; ",6187794,0.4,0.05,"02_01_2024","Winter",0,TRUE,3,"Wet",0.415384615721894,3.41538461572189,"No"
"catQ","Influent_WWTP_02_01_24_MH3_S346","chloramphenicol acetyltransferase (CAT)","ARO:3002687","phenicol antibiotic","phenicol antibiotic","antibiotic inactivation","protein homolog",0,"",NA,NA,"",4,"ARO:3002687|ID:1633|Name:catQ|NCBI:M55620.1",38.79,0.72,"Streptococcus (chromosome): 2; ",6187794,1.61,0.29,"02_01_2024","Winter",0,TRUE,3,"Wet",0.732283464672329,3.73228346467233,"No"
"mel","Influent_WWTP_02_01_24_MH3_S346","msr-type ABC-F protein","ARO:3000616","macrolide antibiotic; streptogramin antibiotic","streptogramin antibiotic; macrolide antibiotic","antibiotic target protection","protein homolog",1,"Nudged",27.0936,95.45,"Unknown taxonomy (chromosome)",28,"ARO:3000616|ID:1231|Name:mel|NCBI:AF227521.1",97.37,2.59,"Streptococcus pneumoniae (chromosome): 3; Klebsiella pneumoniae (chromosome): 1; ",6187794,11.24,1.04,"02_01_2024","Winter",0,TRUE,3,"Wet",0.525419698509987,3.52541969850999,"Yes"
"oqxB","Influent_WWTP_02_01_24_MH3_S346","resistance-nodulation-cell division (RND) antibiotic efflux pump","ARO:3003923","fluoroquinolone antibiotic; glycylcycline; tetracycline antibiotic; diaminopyrimidine antibiotic; nitrofuran antibiotic","tetracycline antibiotic; fluoroquinolone antibiotic; diaminopyrimidine antibiotic; nitrofuran antibiotic","antibiotic efflux","protein homolog",0,"",NA,NA,"",4,"ARO:3003923|ID:2400|Name:oqxB|NCBI:EU370913.1",14.37,0.1,"Enterobacter asburiae (chromosome): 1; Enterobacter (chromosome): 1; ",6187794,1.61,0.04,"02_01_2024","Winter",0,TRUE,3,"Wet",0.987951807231033,3.98795180723103,"Yes"
"smeE","Influent_WWTP_02_01_24_MH3_S346","resistance-nodulation-cell division (RND) antibiotic efflux pump","ARO:3003056","macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic","tetracycline antibiotic; macrolide antibiotic; phenicol antibiotic; fluoroquinolone antibiotic","antibiotic efflux","protein homolog",0,"",NA,NA,"",28,"ARO:3003056|ID:876|Name:smeE|NCBI:AJ252200.1",51.42,0.29,"Laribacter hongkongensis (chromosome): 2; Aeromonas veronii (chromosome): 2; Stenotrophomonas maltophilia (chromosome): 2; Aeromonas caviae (chromosome): 1; Aeromonas (chromosome): 2; ",6187794,11.24,0.12,"02_01_2024","Winter",0,TRUE,3,"Wet",0.665334410493711,3.66533441049371,"No"
"tet(40)","Influent_WWTP_02_01_24_MH3_S346","major facilitator superfamily (MFS) antibiotic efflux pump","ARO:3000567","tetracycline antibiotic","tetracycline antibiotic","antibiotic efflux","protein homolog",0,"",NA,NA,"",4,"ARO:3000567|ID:945|Name:tet(40)|NCBI:AM419751.1",44.72,0.49,"Enterocloster clostridioformis (chromosome): 1; ",6187794,1.61,0.2,"02_01_2024","Winter",0,TRUE,3,"Wet",0.251287332800971,3.25128733280097,"No"
"AxyY","Influent_WWTP_02_01_24_MH4_S341","resistance-nodulation-cell division (RND) antibiotic efflux pump","ARO:3004144","macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin","macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; beta-lactam antibiotic","antibiotic efflux","protein homolog",0,"",NA,NA,"",28,"ARO:3004144|ID:2799|Name:AxyY|NCBI:AFRQ01000061.1",46.49,0.24,"Aeromonas caviae (chromosome): 1; ",5512762,11.17,0.1,"02_01_2024","Winter",0,TRUE,3,"Wet",0.723608301506158,3.72360830150616,"No"
"Bifidobacterium bifidum ileS conferring resistance to mupirocin","Influent_WWTP_02_01_24_MH4_S341","antibiotic-resistant isoleucyl-tRNA synthetase (ileS)","ARO:3003730","mupirocin-like antibiotic","mupirocin-like antibiotic","antibiotic target alteration","protein homolog",1,"Nudged",0.722,100,"",6,"ARO:3003730|ID:2278|Name:Bifidobacterium_bifidum_ileS_conferring_resistance_to_mupirocin|NCBI:CP001840.1",13.63,0.27,"Bifidobacterium bifidum (chromosome): 4; ",5512762,2.39,0.11,"02_01_2024","Winter",0,TRUE,3,"Wet",0.838407494183043,3.83840749418304,"No"
"Klebsiella pneumoniae KpnH","Influent_WWTP_02_01_24_MH4_S341","major facilitator superfamily (MFS) antibiotic efflux pump","ARO:3004597","macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; penam; peptide antibiotic; penem","peptide antibiotic; macrolide antibiotic; aminoglycoside antibiotic; fluoroquinolone antibiotic; beta-lactam antibiotic","antibiotic efflux","protein homolog",0,"",NA,NA,"",5,"ARO:3004597|ID:3299|Name:Klebsiella_pneumoniae_KpnH|NCBI:ASTU01000063.1",19.23,0.23,"Raoultella planticola (chromosome): 1; Citrobacter (chromosome): 1; ",5512762,1.99,0.09,"02_01_2024","Winter",0,TRUE,3,"Wet",0.417522245236988,3.41752224523699,"No"
"MexB","Influent_WWTP_02_01_24_MH4_S341","resistance-nodulation-cell division (RND) antibiotic efflux pump","ARO:3000378","macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem","peptide antibiotic; macrolide antibiotic; diaminopyrimidine antibiotic; beta-lactam antibiotic; phenicol antibiotic; tetracycline antibiotic; sulfonamide antibiotic; fluoroquinolone antibiotic; aminocoumarin antibiotic","antibiotic efflux","protein homolog",0,"",NA,NA,"",42,"ARO:3000378|ID:1925|Name:MexB|NCBI:L11616.1",55.62,0.38,"Enterobacter asburiae (chromosome): 3; Aeromonas caviae (chromosome): 3; Aeromonas hydrophila (chromosome): 2; Klebsiella (chromosome): 1; ",5512762,16.75,0.15,"02_01_2024","Winter",0,TRUE,3,"Wet",0.8097787517041,3.8097787517041,"Yes"
"MexF","Influent_WWTP_02_01_24_MH4_S341","resistance-nodulation-cell division (RND) antibiotic efflux pump","ARO:3000804","fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic","fluoroquinolone antibiotic; phenicol antibiotic; diaminopyrimidine antibiotic","antibiotic efflux","protein homolog",0,"",NA,NA,"",36,"ARO:3000804|ID:1300|Name:MexF|NCBI:AE004091.2",45.56,0.45,"Pseudomonas mendocina (chromosome): 3; Aeromonas hydrophila (chromosome): 1; ",5512762,14.36,0.18,"02_01_2024","Winter",0,TRUE,3,"Wet",0.685249484986982,3.68524948498698,"No"
"mefJ","Influent_WWTP_02_01_24_MH4_S341","major facilitator superfamily (MFS) antibiotic efflux pump","ARO:3007049","macrolide antibiotic","macrolide antibiotic","antibiotic efflux","protein homolog",1,"Nudged",25.3769,97.03,"Unknown taxonomy (chromosome)",10,"ARO:3007049|ID:5748|Name:mefJ|NCBI:CP065927.1",70.94,1.2,"Streptococcus uberis (chromosome): 1; ",5512762,3.99,0.48,"02_01_2024","Winter",0,TRUE,3,"Wet",0.119666503274187,3.11966650327419,"No"
"mel","Influent_WWTP_02_01_24_MH4_S341","msr-type ABC-F protein","ARO:3000616","macrolide antibiotic; streptogramin antibiotic","streptogramin antibiotic; macrolide antibiotic","antibiotic target protection","protein homolog",1,"Nudged",6.1576,100,"Parabacteroides distasonis (no genomic info)",27,"ARO:3000616|ID:1231|Name:mel|NCBI:AF227521.1",68.88,2.76,"Parabacteroides distasonis (chromosome): 1; Streptococcus (chromosome): 1; ",5512762,10.77,1.1,"02_01_2024","Winter",0,TRUE,3,"Wet",0.525419698509987,3.52541969850999,"No"
"oqxB","Influent_WWTP_02_01_24_MH4_S341","resistance-nodulation-cell division (RND) antibiotic efflux pump","ARO:3003923","fluoroquinolone antibiotic; glycylcycline; tetracycline antibiotic; diaminopyrimidine antibiotic; nitrofuran antibiotic","tetracycline antibiotic; nitrofuran antibiotic; diaminopyrimidine antibiotic; fluoroquinolone antibiotic","antibiotic efflux","protein homolog",1,"Nudged",6.47,95.59,"Escherichia coli (chromosome)",11,"ARO:3003923|ID:2400|Name:oqxB|NCBI:EU370913.1",29.15,0.24,"Aeromonas veronii (chromosome): 1; Enterobacter asburiae (chromosome): 1; Klebsiella (chromosome): 1; Aeromonas (chromosome): 1; Klebsiella (no genomic information): 1; ",5512762,4.39,0.1,"02_01_2024","Winter",0,TRUE,3,"Wet",0.987951807231033,3.98795180723103,"Yes"
"qacL","Influent_WWTP_02_01_24_MH4_S341","small multidrug resistance (SMR) antibiotic efflux pump","ARO:3005098","disinfecting agents and antiseptics","disinfecting agents and antiseptics","antibiotic efflux","protein homolog",2,"Nudged",66.6667,97.62,"Unknown taxonomy (chromosome or plasmid)",10,"ARO:3005098|ID:3830|Name:qacL|NCBI:DQ149925.1",100,3.48,"Enterobacter kobei (plasmid): 2; ",5512762,3.99,1.39,"02_01_2024","Winter",1,TRUE,1,"Wet",0.795613160538822,2.79561316053882,"Yes"
"smeB","Influent_WWTP_02_01_24_MH4_S341","resistance-nodulation-cell division (RND) antibiotic efflux pump","ARO:3003052","aminoglycoside antibiotic; cephalosporin; cephamycin; penam","aminoglycoside antibiotic; beta-lactam antibiotic","antibiotic efflux","protein homolog",0,"",NA,NA,"",16,"ARO:3003052|ID:1960|Name:smeB|NCBI:AF173226.1",33.3,0.1,"Stenotrophomonas maltophilia (chromosome): 2; Aeromonas veronii (chromosome): 1; Klebsiella (chromosome): 1; ",5512762,6.38,0.04,"02_01_2024","Winter",0,TRUE,3,"Wet",0.905585763726586,3.90558576372659,"No"
"smeE","Influent_WWTP_02_01_24_MH4_S341","resistance-nodulation-cell division (RND) antibiotic efflux pump","ARO:3003056","macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic","macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic","antibiotic efflux","protein homolog",0,"",NA,NA,"",31,"ARO:3003056|ID:876|Name:smeE|NCBI:AJ252200.1",54.18,0.19,"Aeromonas veronii (chromosome): 3; Klebsiella quasipneumoniae (chromosome): 1; Aeromonas enteropelogenes (chromosome): 1; Citrobacter amalonaticus (chromosome): 1; Aeromonas hydrophila (chromosome): 1; Aeromonas caviae (chromosome): 1; Aeromonas (chromosome): 1; ",5512762,12.36,0.08,"02_01_2024","Winter",0,TRUE,3,"Wet",0.665334410493711,3.66533441049371,"No"
"AxyY","Influent_WWTP_02_10_24_MH2_S348","resistance-nodulation-cell division (RND) antibiotic efflux pump","ARO:3004144","macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin","beta-lactam antibiotic; fluoroquinolone antibiotic; macrolide antibiotic; aminoglycoside antibiotic","antibiotic efflux","protein homolog",0,"",NA,NA,"",34,"ARO:3004144|ID:2799|Name:AxyY|NCBI:AFRQ01000061.1",29.45,0.29,"Aeromonas hydrophila (chromosome): 2; Pseudomonas fluorescens (chromosome): 1; ",11504304,11.36,0.1,"02_10_2024","Winter",0,TRUE,3,"Wet",0.723608301506158,3.72360830150616,"No"
"MexB","Influent_WWTP_02_10_24_MH2_S348","resistance-nodulation-cell division (RND) antibiotic efflux pump","ARO:3000378","macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem","tetracycline antibiotic; macrolide antibiotic; fluoroquinolone antibiotic; sulfonamide antibiotic; phenicol antibiotic; peptide antibiotic; beta-lactam antibiotic; diaminopyrimidine antibiotic; aminocoumarin antibiotic","antibiotic efflux","protein homolog",1,"Nudged",2.0057,100,"",44,"ARO:3000378|ID:1925|Name:MexB|NCBI:L11616.1",64.31,0.58,"Aeromonas hydrophila (chromosome): 3; Aeromonas veronii (chromosome): 2; Pseudomonas (chromosome): 1; ",11504304,14.7,0.19,"02_10_2024","Winter",0,TRUE,3,"Wet",0.8097787517041,3.8097787517041,"No"
"MexF","Influent_WWTP_02_10_24_MH2_S348","resistance-nodulation-cell division (RND) antibiotic efflux pump","ARO:3000804","fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic","diaminopyrimidine antibiotic; phenicol antibiotic; fluoroquinolone antibiotic","antibiotic efflux","protein homolog",0,"",NA,NA,"",79,"ARO:3000804|ID:1300|Name:MexF|NCBI:AE004091.2",69.52,1.28,"Pseudomonas aeruginosa (chromosome): 1; ",11504304,26.4,0.43,"02_10_2024","Winter",0,TRUE,3,"Wet",0.685249484986982,3.68524948498698,"Yes"
"mefJ","Influent_WWTP_02_10_24_MH2_S348","major facilitator superfamily (MFS) antibiotic efflux pump","ARO:3007049","macrolide antibiotic","macrolide antibiotic","antibiotic efflux","protein homolog",2,"Nudged",77.6382,99.5,"Unknown taxonomy (chromosome)",17,"ARO:3007049|ID:5748|Name:mefJ|NCBI:CP065927.1",77.97,2.12,"Streptococcus uberis (chromosome): 1; ",11504304,5.68,0.71,"02_10_2024","Winter",0,TRUE,3,"Wet",0.119666503274187,3.11966650327419,"No"
"mel","Influent_WWTP_02_10_24_MH2_S348","msr-type ABC-F protein","ARO:3000616","macrolide antibiotic; streptogramin antibiotic","streptogramin antibiotic; macrolide antibiotic","antibiotic target protection","protein homolog",1,"Nudged",20.6897,96.43,"Unknown taxonomy and genomic context",13,"ARO:3000616|ID:1231|Name:mel|NCBI:AF227521.1",78.16,1.4,"Streptococcus pneumoniae (chromosome): 1; ",11504304,4.34,0.47,"02_10_2024","Winter",0,TRUE,3,"Wet",0.525419698509987,3.52541969850999,"No"
"smeB","Influent_WWTP_02_10_24_MH2_S348","resistance-nodulation-cell division (RND) antibiotic efflux pump","ARO:3003052","aminoglycoside antibiotic; cephalosporin; cephamycin; penam","beta-lactam antibiotic; aminoglycoside antibiotic","antibiotic efflux","protein homolog",0,"",NA,NA,"",32,"ARO:3003052|ID:1960|Name:smeB|NCBI:AF173226.1",37.65,0.3,"Aeromonas caviae (chromosome): 3; Aeromonas (chromosome): 1; ",11504304,10.69,0.1,"02_10_2024","Winter",0,TRUE,3,"Wet",0.905585763726586,3.90558576372659,"No"
"smeE","Influent_WWTP_02_10_24_MH2_S348","resistance-nodulation-cell division (RND) antibiotic efflux pump","ARO:3003056","macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic","tetracycline antibiotic; macrolide antibiotic; phenicol antibiotic; fluoroquinolone antibiotic","antibiotic efflux","protein homolog",0,"",NA,NA,"",48,"ARO:3003056|ID:876|Name:smeE|NCBI:AJ252200.1",53.6,0.48,"Aeromonas caviae (chromosome): 8; Aeromonas hydrophila (chromosome): 6; Aeromonas veronii (chromosome): 5; Stenotrophomonas maltophilia (chromosome): 2; Pseudomonas fluorescens (chromosome): 1; Aeromonas (chromosome): 2; ",11504304,16.04,0.16,"02_10_2024","Winter",0,TRUE,3,"Wet",0.665334410493711,3.66533441049371,"No"
"Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin","Influent_WWTP_02_10_24_MH3_S338","rifamycin-resistant beta-subunit of RNA polymerase (rpoB)","ARO:3004480","rifamycin antibiotic","rifamycin antibiotic","antibiotic target alteration; antibiotic target replacement","protein homolog",1,"Nudged",1.9377,100,"",92,"ARO:3004480|ID:2914|Name:Bifidobacterium_adolescentis_rpoB_mutants_conferring_resistance_to_rifampicin|NCBI:NC_008618.1",51.28,0.87,"Bifidobacterium longum (chromosome): 1; ",7781242,30.62,0.29,"02_10_2024","Winter",0,TRUE,3,"Wet",0.69721473495663,3.69721473495663,"No"
"Bifidobacterium bifidum ileS conferring resistance to mupirocin","Influent_WWTP_02_10_24_MH3_S338","antibiotic-resistant isoleucyl-tRNA synthetase (ileS)","ARO:3003730","mupirocin-like antibiotic","mupirocin-like antibiotic","antibiotic target alteration","protein homolog",1,"Nudged",7.0397,100,"Bifidobacterium bifidum (chromosome)",3,"ARO:3003730|ID:2278|Name:Bifidobacterium_bifidum_ileS_conferring_resistance_to_mupirocin|NCBI:CP001840.1",8.54,0.09,"Bifidobacterium bifidum (chromosome): 2; ",7781242,1,0.03,"02_10_2024","Winter",0,TRUE,3,"Wet",0.838407494183043,3.83840749418304,"No"
"MexB","Influent_WWTP_02_10_24_MH3_S338","resistance-nodulation-cell division (RND) antibiotic efflux pump","ARO:3000378","macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem","fluoroquinolone antibiotic; peptide antibiotic; macrolide antibiotic; beta-lactam antibiotic; diaminopyrimidine antibiotic; tetracycline antibiotic; aminocoumarin antibiotic; phenicol antibiotic; sulfonamide antibiotic","antibiotic efflux","protein homolog",0,"",NA,NA,"",51,"ARO:3000378|ID:1925|Name:MexB|NCBI:L11616.1",66.7,1.01,"Aeromonas hydrophila (chromosome): 2; Achromobacter xylosoxidans (chromosome): 1; Pseudomonas fluorescens (chromosome): 1; ",7781242,16.97,0.34,"02_10_2024","Winter",0,TRUE,3,"Wet",0.8097787517041,3.8097787517041,"No"
"MexD","Influent_WWTP_02_10_24_MH3_S338","resistance-nodulation-cell division (RND) antibiotic efflux pump","ARO:3000801","macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin; penam; tetracycline antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic","phenicol antibiotic; aminocoumarin antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; beta-lactam antibiotic; macrolide antibiotic; aminoglycoside antibiotic; diaminopyrimidine antibiotic","antibiotic efflux","protein homolog",2,"Nudged",1.5326,100,"",26,"ARO:3000801|ID:1523|Name:MexD|NCBI:U57969.1",47,0.05,"Pseudomonas fluorescens (chromosome): 2; ",7781242,8.65,0.02,"02_10_2024","Winter",0,TRUE,3,"Wet",0.797776233509536,3.79777623350954,"No"
"MexF","Influent_WWTP_02_10_24_MH3_S338","resistance-nodulation-cell division (RND) antibiotic efflux pump","ARO:3000804","fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic","phenicol antibiotic; fluoroquinolone antibiotic; diaminopyrimidine antibiotic","antibiotic efflux","protein homolog",0,"",NA,NA,"",40,"ARO:3000804|ID:1300|Name:MexF|NCBI:AE004091.2",57.48,0.85,"Pseudomonas fluorescens (chromosome): 2; Aeromonas caviae (chromosome): 1; Pseudomonas aeruginosa (chromosome): 1; ",7781242,13.31,0.28,"02_10_2024","Winter",0,TRUE,3,"Wet",0.685249484986982,3.68524948498698,"Yes"
"ceoB","Influent_WWTP_02_10_24_MH3_S338","resistance-nodulation-cell division (RND) antibiotic efflux pump","ARO:3003010","fluoroquinolone antibiotic; aminoglycoside antibiotic","aminoglycoside antibiotic; fluoroquinolone antibiotic","antibiotic efflux","protein homolog",0,"",NA,NA,"",19,"ARO:3003010|ID:1252|Name:ceoB|NCBI:U97042.1",39.88,0.05,"Pseudomonas (chromosome): 1; ",7781242,6.32,0.02,"02_10_2024","Winter",0,TRUE,3,"Wet",0.982286634461974,3.98228663446197,"No"
